Co,County Name,AEA,Dist,Bldg,District Name,Building Name,PK,K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Building Total,Hispanic Male,Hispanic Female,Hispanic Total,Native American Male,Native American Female,Native American Total,Asian Male,Asian Female,Asian Total,Black Male,Black Female,Black Total,Pacific Islander Male,Pacific Islander Female,Pacific Islander Total,White Male,White Female,White Total,Multi-Race Male,Multi-Race Female,Multi-Race Total,Total Male,Total Female
07,Black Hawk,07,6795,0826,Waterloo,Blessed Sacrament Preschool,19,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,7,9,16,0,1,1,7,12
07,Black Hawk,07,6795,0831,Waterloo,Christ Lutheran Preschool,20,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,9,9,18,0,0,0,11,9
07,Black Hawk,07,6795,0836,Waterloo,Learn N Play Preschool,15,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,5,5,10,1,1,2,7,8
07,Black Hawk,07,6795,0841,Waterloo,CUCCC Valley Park Preschool,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,0,0,0,6,1
07,Black Hawk,07,6795,0869,Waterloo,Sacred Heart Preschool,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,2,3,0,0,0,1,1,2,0,0,0,0,0,0,3,2,5,0,0,0,5,5
07,Black Hawk,07,6795,0870,Waterloo,YMCA Preschool,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,0,1,1,3,6
25,Dallas,11,6822,0000,Waukee,Waukee Comm School District,0,0,0,0,0,0,0,1,1,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,2,2
25,Dallas,11,6822,0109,Waukee,Waukee Senior High School,0,0,0,0,0,0,0,0,0,0,0,427,460,381,"1,268",27,22,49,0,1,1,13,21,34,22,20,42,0,0,0,564,545,"1,109",17,16,33,643,625
25,Dallas,11,6822,0209,Waukee,Prairieview School,0,0,0,0,0,0,0,0,0,0,535,0,0,0,535,9,12,21,0,1,1,9,7,16,9,9,18,0,0,0,242,225,467,6,6,12,275,260
25,Dallas,11,6822,0218,Waukee,Waukee South MS,0,0,0,0,0,0,0,319,287,269,0,0,0,0,875,20,25,45,0,1,1,17,29,46,22,23,45,1,0,1,345,370,715,8,14,22,413,462
25,Dallas,11,6822,0409,Waukee,Waukee Elementary School,6,141,117,119,119,92,131,0,0,0,0,0,0,0,725,19,15,34,0,1,1,11,11,22,7,8,15,0,0,0,317,318,635,8,10,18,362,363
25,Dallas,11,6822,0418,Waukee,Waukee Middle School,0,0,0,0,0,0,0,308,293,264,0,0,0,0,865,17,9,26,2,1,3,18,15,33,7,7,14,0,0,0,413,352,765,14,10,24,471,394
25,Dallas,11,6822,0421,Waukee,Eason Elementary,0,109,92,112,96,107,110,0,0,0,0,0,0,0,626,3,5,8,2,1,3,14,17,31,5,9,14,0,0,0,279,272,551,11,8,19,314,312
25,Dallas,11,6822,0427,Waukee,Brookview Elementary,0,134,121,120,89,115,89,0,0,0,0,0,0,0,668,11,8,19,1,0,1,43,52,95,17,9,26,1,0,1,254,256,510,6,10,16,333,335
25,Dallas,11,6822,0436,Waukee,Walnut Hills Elementary,14,129,99,99,98,93,82,0,0,0,0,0,0,0,614,14,7,21,1,1,2,14,16,30,4,5,9,1,0,1,272,260,532,12,7,19,318,296
25,Dallas,11,6822,0445,Waukee,Maple Grove Elementary,8,151,144,127,135,110,95,0,0,0,0,0,0,0,770,17,17,34,0,1,1,20,23,43,30,22,52,0,0,0,285,322,607,18,15,33,370,400
25,Dallas,11,6822,0454,Waukee,Shuler Elementary,6,104,124,98,99,108,87,0,0,0,0,0,0,0,626,9,9,18,1,1,2,19,26,45,6,1,7,0,0,0,277,267,544,3,7,10,315,311
09,Bremer,07,6840,0000,Waverly-Shell Rock,Waverly-Shell Rock Comm School District,0,0,0,0,0,0,0,0,4,8,14,6,12,7,51,0,1,1,0,0,0,0,0,0,7,4,11,0,0,0,19,18,37,2,0,2,28,23
09,Bremer,07,6840,0109,Waverly-Shell Rock,Waverly-Shell Rock Senior High School,0,0,0,0,0,0,0,0,0,0,164,147,178,172,661,6,4,10,0,0,0,3,5,8,7,3,10,0,0,0,289,327,616,6,11,17,311,350
09,Bremer,07,6840,0118,Waverly-Shell Rock,Greenview Alternative School,0,0,0,0,0,0,0,0,0,0,1,6,9,11,27,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,16,9,25,1,0,1,17,10
09,Bremer,07,6840,0209,Waverly-Shell Rock,Waverly-Shell Rock Middle School,0,0,0,0,0,0,145,159,160,156,0,0,0,0,620,4,11,15,1,2,3,4,3,7,4,3,7,0,0,0,288,286,574,5,9,14,306,314
